Forme de proprietate, Judete, Localitati , Ani, UM: Numar, Valoare
Total, TOTAL, TOTAL, Anul 2016, Numar,8929167
Total, Alba, TOTAL, Anul 2016, Numar,152779
Total, Arad, TOTAL, Anul 2016, Numar,195538
Total, Arges, TOTAL, Anul 2016, Numar,278371
Total, Bacau, TOTAL, Anul 2016, Numar,281536
Total, Bihor, TOTAL, Anul 2016, Numar,251272
Total, Bistrita-Nasaud, TOTAL, Anul 2016, Numar,118621
Total, Botosani, TOTAL, Anul 2016, Numar,177404
Total, Brasov, TOTAL, Anul 2016, Numar,245265
Total, Braila, TOTAL, Anul 2016, Numar,138072
Total, Buzau, TOTAL, Anul 2016, Numar,202385
Total, Caras-Severin, TOTAL, Anul 2016, Numar,137931
Total, Calarasi, TOTAL, Anul 2016, Numar,128252
Total, Cluj, TOTAL, Anul 2016, Numar,329432
Total, Constanta, TOTAL, Anul 2016, Numar,289733
Total, Covasna, TOTAL, Anul 2016, Numar,90693
Total, Dambovita, TOTAL, Anul 2016, Numar,215942
Total, Dolj, TOTAL, Anul 2016, Numar,285034
Total, Galati, TOTAL, Anul 2016, Numar,232949
Total, Giurgiu, TOTAL, Anul 2016, Numar,119907
Total, Gorj, TOTAL, Anul 2016, Numar,160920
Total, Harghita, TOTAL, Anul 2016, Numar,135922
Total, Hunedoara, TOTAL, Anul 2016, Numar,200201
Total, Ialomita, TOTAL, Anul 2016, Numar,114756
Total, Iasi, TOTAL, Anul 2016, Numar,321613
Total, Ilfov, TOTAL, Anul 2016, Numar,177642
Total, Maramures, TOTAL, Anul 2016, Numar,205422
Total, Mehedinti, TOTAL, Anul 2016, Numar,132134
Total, Mures, TOTAL, Anul 2016, Numar,231220
Total, Neamt, TOTAL, Anul 2016, Numar,222281
Total, Olt, TOTAL, Anul 2016, Numar,191238
Total, Prahova, TOTAL, Anul 2016, Numar,326097
Total, Satu Mare, TOTAL, Anul 2016, Numar,146142
Total, Salaj, TOTAL, Anul 2016, Numar,102822
Total, Sibiu, TOTAL, Anul 2016, Numar,179052
Total, Suceava, TOTAL, Anul 2016, Numar,269044
Total, Teleorman, TOTAL, Anul 2016, Numar,172368
Total, Timis, TOTAL, Anul 2016, Numar,294913
Total, Tulcea, TOTAL, Anul 2016, Numar,97870
Total, Vaslui, TOTAL, Anul 2016, Numar,176436
Total, Valcea, TOTAL, Anul 2016, Numar,183553
Total, Vrancea, TOTAL, Anul 2016, Numar,158055
Total, Municipiul Bucuresti, TOTAL, Anul 2016, Numar,858350
Proprietate privata, TOTAL, TOTAL, Anul 2016, Numar,8821846
Proprietate privata, Alba, TOTAL, Anul 2016, Numar,151886
Proprietate privata, Arad, TOTAL, Anul 2016, Numar,193681
Proprietate privata, Arges, TOTAL, Anul 2016, Numar,276476
Proprietate privata, Bacau, TOTAL, Anul 2016, Numar,278759
Proprietate privata, Bihor, TOTAL, Anul 2016, Numar,248683
Proprietate privata, Bistrita-Nasaud, TOTAL, Anul 2016, Numar,116900
Proprietate privata, Botosani, TOTAL, Anul 2016, Numar,175221
Proprietate privata, Brasov, TOTAL, Anul 2016, Numar,240578
Proprietate privata, Braila, TOTAL, Anul 2016, Numar,135635
Proprietate privata, Buzau, TOTAL, Anul 2016, Numar,201605
Proprietate privata, Caras-Severin, TOTAL, Anul 2016, Numar,134211
Proprietate privata, Calarasi, TOTAL, Anul 2016, Numar,126667
Proprietate privata, Cluj, TOTAL, Anul 2016, Numar,324172
Proprietate privata, Constanta, TOTAL, Anul 2016, Numar,283401
Proprietate privata, Covasna, TOTAL, Anul 2016, Numar,89613
Proprietate privata, Dambovita, TOTAL, Anul 2016, Numar,213555
Proprietate privata, Dolj, TOTAL, Anul 2016, Numar,283768
Proprietate privata, Galati, TOTAL, Anul 2016, Numar,229462
Proprietate privata, Giurgiu, TOTAL, Anul 2016, Numar,119223
Proprietate privata, Gorj, TOTAL, Anul 2016, Numar,157062
Proprietate privata, Harghita, TOTAL, Anul 2016, Numar,133527
Proprietate privata, Hunedoara, TOTAL, Anul 2016, Numar,193616
Proprietate privata, Ialomita, TOTAL, Anul 2016, Numar,113579
Proprietate privata, Iasi, TOTAL, Anul 2016, Numar,318433
Proprietate privata, Ilfov, TOTAL, Anul 2016, Numar,176226
Proprietate privata, Maramures, TOTAL, Anul 2016, Numar,203535
Proprietate privata, Mehedinti, TOTAL, Anul 2016, Numar,129963
Proprietate privata, Mures, TOTAL, Anul 2016, Numar,228356
Proprietate privata, Neamt, TOTAL, Anul 2016, Numar,219981
Proprietate privata, Olt, TOTAL, Anul 2016, Numar,190210
Proprietate privata, Prahova, TOTAL, Anul 2016, Numar,323128
Proprietate privata, Satu Mare, TOTAL, Anul 2016, Numar,144555
Proprietate privata, Salaj, TOTAL, Anul 2016, Numar,102017
Proprietate privata, Sibiu, TOTAL, Anul 2016, Numar,175308
Proprietate privata, Suceava, TOTAL, Anul 2016, Numar,265552
Proprietate privata, Teleorman, TOTAL, Anul 2016, Numar,171198
Proprietate privata, Timis, TOTAL, Anul 2016, Numar,291343
Proprietate privata, Tulcea, TOTAL, Anul 2016, Numar,96766
Proprietate privata, Vaslui, TOTAL, Anul 2016, Numar,175085
Proprietate privata, Valcea, TOTAL, Anul 2016, Numar,182139
Proprietate privata, Vrancea, TOTAL, Anul 2016, Numar,156051
Proprietate privata, Municipiul Bucuresti, TOTAL, Anul 2016, Numar,850720
